YIELD_ID,A,Z,INTENSITY,METASTABILITY,TARGET_NAME,INTENSITY_ESTIMATION_METHOD,HALFLIFE
354,6,2,47000000.0,g,U Carbide,[A],0.8067000000000001
2580,6,2,520000.0,None,ZrO2 fibers,[A],0.8067000000000001
2389,6,2,2800000.0,None,TiOx fibers,[A],0.8067000000000001
2255,6,2,5400000.0,g,Th/Ta Metal foil/powder,[A],0.8067000000000001
2163,6,2,7800000.0,g,Th Oxide,[A],0.8067000000000001
2037,6,2,21000000.0,g,Th Carbide,[A],0.8067000000000001
1993,6,2,16100000.0,g,Th Carbide,[A],0.8067000000000001
1705,6,2,7600000.0,g,Ta foil,[A],0.8067000000000001
1704,6,2,727000.0,g,Ta foil,[A],0.8067000000000001
1703,6,2,3100000.0,g,Ta foil,[A],0.8067000000000001
1455,6,2,400000.0,None,SrO powder,[A],0.8067000000000001
1298,6,2,42000.0,g,Pb Molten metal,[A],0.8067000000000001
793,6,2,54000000.0,None,BeO porous pellets ca. 50%,[A],0.8067000000000001
814,6,2,850000.0,g,Ca Oxide,[A],0.8067000000000001
858,6,2,2600000.0,None,CaO powder,[A],0.8067000000000001
865,6,2,4600000.0,None,CeOx fibers,[A],0.8067000000000001
912,6,2,68200.0,g,Ge Molten metal,[A],0.8067000000000001
1031,6,2,5300.0,g,La Molten metal,[A],0.8067000000000001
1093,6,2,1900000.0,None,La2O3 powder,[A],0.8067000000000001
1096,6,2,3000000.0,None,Mg Oxide,[A],0.8067000000000001
1104,6,2,441000.0,g,Mg Oxide,[A],0.8067000000000001
1202,6,2,1700000.0,g,Nb foil,[A],0.8067000000000001
913,8,2,2020.0,g,Ge Molten metal,[A],0.11900000000000001
1097,8,2,12000.0,None,Mg Oxide,[A],0.11900000000000001
866,8,2,24000.0,None,CeOx fibers,[A],0.11900000000000001
2131,8,2,39000.0,g,Th Oxide,[A],0.11900000000000001
859,8,2,11000.0,None,CaO powder,[A],0.11900000000000001
352,8,2,470000.0,g,U Carbide,[A],0.11900000000000001
822,8,2,750.0,g,Ca Oxide,[A],0.11900000000000001
1984,8,2,664000.0,g,Th Carbide,[A],0.11900000000000001
2398,8,2,6000.0,None,TiOx fibers,[A],0.11900000000000001
773,8,2,2060.0,g,Ba Oxide,[A],0.11900000000000001
2587,8,2,1800.0,None,ZrO2 fibers,[A],0.11900000000000001
1094,8,2,6560.0,g,Mg Oxide,[A],0.11900000000000001
687,7,3,8200000000.0,g,U Carbide,[A],1e+18
58,8,3,58000000.0,g,U Carbide,[A],0.838
60,8,3,7400000.0,g,U Carbide,[A],0.838
2427,8,3,2200000.0,g,Zr Metal foil,[A],0.838
2335,8,3,7500000.0,g,Ti Metal foil,[A],0.838
2253,8,3,1900000.0,g,Th/Ta Metal foil/powder,[A],0.838
1982,8,3,305000.0,g,Th Carbide,[A],0.838
1854,8,3,580000000.0,None,Ta foil thin,[A],0.838
1784,8,3,390000000.0,g,Ta foil,[A],0.838
1700,8,3,2200000.0,g,Ta foil,[A],0.838
1199,8,3,1100000.0,g,Nb foil,[A],0.838
942,8,3,2300000.0,g,Ir powder,[A],0.838
2336,9,3,320000.0,g,Ti Metal foil,[A],0.17830000000000001
2269,9,3,140.0,g,Th/Ta Metal foil/powder,[A],0.17830000000000001
1833,9,3,60000.0,g,Ta foil,[A],0.17830000000000001
2428,9,3,140000.0,g,Zr Metal foil,[A],0.17830000000000001
941,9,3,960000.0,g,Ir powder,[A],0.17830000000000001
1850,9,3,17000000.0,None,Ta foil thin,[A],0.17830000000000001
61,9,3,3900000.0,g,U Carbide,[A],0.17830000000000001
1835,9,3,150000.0,g,Ta foil,[A],0.17830000000000001
1834,9,3,36000000.0,g,Ta foil,[A],0.17830000000000001
702,11,3,1400.0,g,U Carbide,[A],0.0085
1849,11,3,7000.0,None,Ta foil thin,[A],0.0085
940,11,3,110.0,g,Ir powder,[A],0.0085
1848,11,3,500.0,None,Ta foil rolls,[A],0.0085
1847,11,3,2500.0,None,Ta foil discs,[A],0.0085
951,7,4,2000000000000.0,None,Irradiated graphite from PSI,[A],4589568.0
667,7,4,14000000000.0,None,U Carbide,[A],4589568.0
952,10,4,2000000000000.0,None,Irradiated graphite from PSI,[A],47650958260000.0
1852,10,4,490000000.0,None,Ta foil thin,[A],47650958260000.0
678,10,4,6000000000.0,None,U Carbide,[A],47650958260000.0
653,11,4,7000000.0,None,U Carbide,[A],13.81
1827,11,4,54000.0,g,Ta foil,[A],13.81
1853,11,4,3400000.0,None,Ta foil thin,[A],13.81
1831,11,4,150000.0,g,Ta foil,[A],13.81
1830,11,4,3300.0,g,Ta foil,[A],13.81
1829,11,4,50000.0,g,Ta foil,[A],13.81
1851,12,4,7000.0,None,Ta foil thin,[A],0.023600000000000003
652,12,4,1500.0,None,U Carbide,[A],0.023600000000000003
649,14,4,4.0,None,U Carbide,[A],0.00435
1855,14,4,6.1,None,Ta foil thin,[A],0.00435
795,8,5,300.0,None,C Multiwalled nanotubes,[A],0.77
794,8,5,300.0,None,C Multiwalled nanotubes,[A],0.77
856,9,6,400.0,None,CaO powder,[A],0.1265
850,9,6,2000.0,None,CaO powder,[A],0.1265
1112,9,6,4030.0,g,Mg Oxide,[A],0.1265
2379,9,6,1000.0,None,TiOx fibers,[A],0.1265
818,9,6,3.2,g,Ca Oxide,[A],0.1265
935,10,6,240.0,None,HfO2 fibers,[A],19.255
819,10,6,20000.0,g,Ca Oxide,[A],19.255
2393,10,6,200000.0,None,TiOx fibers,[A],19.255
1120,10,6,300000.0,None,NaFLiF salt,[A],19.255
1101,10,6,18200.0,g,Mg Oxide,[A],19.255
1106,10,6,9700.0,None,Mg Oxide,[A],19.255
867,10,6,120000.0,None,CeOx fibers,[A],19.255
841,10,6,700000.0,None,CaO nanostructured powder,[A],19.255
843,11,6,2700000.0,None,CaO nanostructured powder,[A],1223.4
870,11,6,4800000.0,None,CeOx fibers,[A],1223.4
1119,11,6,770000000.0,None,NaFLiF salt,[A],1223.4
1103,11,6,680000.0,g,Mg Oxide,[A],1223.4
1102,11,6,210000.0,None,Mg Oxide,[A],1223.4
934,11,6,44000.0,None,HfO2 fibers,[A],1223.4
2399,11,6,6200000.0,None,TiOx fibers,[A],1223.4
820,11,6,480000.0,g,Ca Oxide,[A],1223.4
835,15,6,650.0,None,CaO nanostructured powder,[A],2.449
1100,15,6,767.0,g,Mg Oxide,[A],2.449
844,15,6,790000.0,None,CaO nanostructured powder,[A],2.449
821,15,6,6200.0,g,Ca Oxide,[A],2.449
933,15,6,290.0,None,HfO2 fibers,[A],2.449
1117,15,6,12000.0,None,NaFLiF salt,[A],2.449
2388,15,6,9200.0,None,TiOx fibers,[A],2.449
862,15,6,11000.0,None,CeOx fibers,[A],2.449
871,16,6,2100.0,None,CeOx fibers,[A],0.747
849,16,6,2500.0,None,CaO powder,[A],0.747
826,16,6,4000.0,g,Ca Oxide,[A],0.747
2396,16,6,690.0,None,TiOx fibers,[A],0.747
932,17,6,8.0,None,HfO2 fibers,[A],0.193
1382,13,7,270.0,g,Pt Metal/graphite mix,[A],597.9
1390,13,7,950.0,g,Pt Metal/graphite mix,[A],597.9
1099,13,7,9150.0,g,Mg Oxide,[A],597.9
828,13,7,24000.0,g,Ca Oxide,[A],597.9
1388,16,7,25000.0,g,Pt Metal/graphite mix,[A],7.13
1389,16,7,7000.0,g,Pt Metal/graphite mix,[A],7.13
823,16,7,820.0,g,Ca Oxide,[A],7.13
1386,17,7,350.0,g,Pt Metal/graphite mix,[A],4.173
1387,17,7,100.0,g,Pt Metal/graphite mix,[A],4.173
813,17,7,100000.0,g,Ca Oxide,[A],4.173
829,18,7,65.0,g,Ca Oxide,[A],0.624
1379,19,8,1000.0,g,Pt Metal/graphite mix,[A],26.91
1383,19,8,15000.0,g,Pt Metal/graphite mix,[A],26.91
323,19,8,128000.0,None,U Carbide,[A],26.91
322,20,8,34000.0,None,U Carbide,[A],13.51
1380,20,8,750.0,g,Pt Metal/graphite mix,[A],13.51
1391,20,8,12000.0,g,Pt Metal/graphite mix,[A],13.51
1385,21,8,1500.0,g,Pt Metal/graphite mix,[A],3.42
329,21,8,7000.0,None,U Carbide,[A],3.42
1381,22,8,450.0,g,Pt Metal/graphite mix,[A],2.25
366,22,8,1300.0,None,U Carbide,[A],2.25
1384,22,8,20.0,g,Pt Metal/graphite mix,[A],2.25
1408,17,9,25300.0,g,Si Carbide,[A],64.49
1436,17,9,110000.0,None,SiC sub-micron,[A],64.49
1409,17,9,11000000.0,g,Si Carbide,[A],64.49
1418,18,9,17800000.0,g,Si Carbide,[A],6586.2
1228,20,9,34000.0,g,Nb foil,[A],11.0
1197,20,9,1800.0,g,Nb foil,[A],11.0
1411,20,9,9710000.0,g,Si Carbide,[A],11.0
1410,20,9,131000.0,g,Si Carbide,[A],11.0
1209,20,9,210000.0,g,Nb foil,[A],11.0
1243,21,9,850.0,g,Nb foil,[A],4.158
1238,21,9,31000.0,g,Nb foil,[A],4.158
1412,21,9,936000.0,g,Si Carbide,[A],4.158
1236,22,9,1700.0,g,Nb foil,[A],4.23
1235,22,9,5500.0,g,Nb foil,[A],4.23
1424,22,9,25500.0,g,Si Carbide,[A],4.23
1413,23,9,1640.0,g,Si Carbide,[A],2.23
825,17,10,270.0,g,Ca Oxide,[A],0.1092
1113,17,10,4500.0,g,Mg Oxide,[A],0.1092
2381,17,10,40.0,None,TiOx fibers,[A],0.1092
1108,17,10,1000.0,None,Mg Oxide,[A],0.1092
1495,17,10,230.0,g,Ta foil,[A],0.1092
169,18,10,370.0,g,U Carbide,[A],1.672
2386,18,10,7000.0,None,TiOx fibers,[A],1.672
2583,18,10,2300.0,None,ZrO2 fibers,[A],1.672
1422,18,10,63100.0,g,Si Carbide,[A],1.672
846,18,10,690000.0,None,CaO powder,[A],1.672
824,18,10,280000.0,g,Ca Oxide,[A],1.672
1107,18,10,200000.0,None,Mg Oxide,[A],1.672
1116,18,10,3460000.0,g,Mg Oxide,[A],1.672
1118,18,10,42000.0,None,NaFLiF salt,[A],1.672
1098,19,10,29700000.0,g,Mg Oxide,[A],17.22
1095,19,10,3500000.0,None,Mg Oxide,[A],17.22
1085,19,10,15000.0,None,La2O3 powder,[A],17.22
1032,19,10,22000.0,g,La Molten metal,[A],17.22
920,19,10,5260.0,g,Ge Molten metal,[A],17.22
872,19,10,23000.0,None,CeOx fibers,[A],17.22
847,19,10,7500000.0,None,CaO powder,[A],17.22
842,19,10,9600000.0,None,CaO nanostructured powder,[A],17.22
830,19,10,6900000.0,g,Ca Oxide,[A],17.22
168,19,10,12000.0,g,U Carbide,[A],17.22
2582,19,10,14000.0,None,ZrO2 fibers,[A],17.22
2397,19,10,210000.0,None,TiOx fibers,[A],17.22
2305,19,10,28000.0,g,Th/Ta Metal foil/powder,[A],17.22
2159,19,10,42000.0,g,Th Oxide,[A],17.22
1133,19,10,180000.0,g,Nb foil,[A],17.22
1423,19,10,918000.0,g,Si Carbide,[A],17.22
1453,19,10,9000.0,None,SrO powder,[A],17.22
199,20,10,1100000.0,g,U Carbide,[A],1e+18
172,21,10,160000.0,g,U Carbide,[A],1e+18
210,22,10,18.0,g,U Carbide,[A],1e+18
2581,23,10,55000.0,None,ZrO2 fibers,[A],37.24
197,23,10,1600000.0,g,U Carbide,[A],37.24
209,23,10,1.8,g,U Carbide,[A],37.24
834,23,10,900000.0,g,Ca Oxide,[A],37.24
873,23,10,270000.0,None,CeOx fibers,[A],37.24
908,23,10,33200.0,g,Ge Molten metal,[A],37.24
1084,23,10,250000.0,None,La2O3 powder,[A],37.24
1111,23,10,690000.0,None,Mg Oxide,[A],37.24
1115,23,10,5130000.0,g,Mg Oxide,[A],37.24
1137,23,10,730000.0,g,Nb foil,[A],37.24
1311,23,10,28000.0,g,Pb Molten metal,[A],37.24
1516,23,10,410000.0,g,Ta foil,[A],37.24
1971,23,10,804000.0,g,Th Carbide,[A],37.24
2064,23,10,1200000.0,g,Th Carbide,[A],37.24
2160,23,10,490000.0,g,Th Oxide,[A],37.24
2306,23,10,990000.0,g,Th/Ta Metal foil/powder,[A],37.24
2382,23,10,820000.0,None,TiOx fibers,[A],37.24
1417,24,10,366000.0,g,Si Carbide,[A],202.79999999999998
1310,24,10,32000.0,g,Pb Molten metal,[A],202.79999999999998
1114,24,10,1640000.0,g,Mg Oxide,[A],202.79999999999998
1110,24,10,180000.0,None,Mg Oxide,[A],202.79999999999998
1488,24,10,200000.0,g,Ta foil,[A],202.79999999999998
1972,24,10,558000.0,g,Th Carbide,[A],202.79999999999998
712,24,10,163000.0,g,U Carbide,[A],202.79999999999998
2383,24,10,140000.0,None,TiOx fibers,[A],202.79999999999998
2590,24,10,25000.0,None,ZrO2 fibers,[A],202.79999999999998
885,24,10,63000.0,None,CeOx fibers,[A],202.79999999999998
910,24,10,16600.0,g,Ge Molten metal,[A],202.79999999999998
208,24,10,0.08,g,U Carbide,[A],202.79999999999998
1109,25,10,300.0,None,Mg Oxide,[A],0.602
1105,25,10,592.0,g,Mg Oxide,[A],0.602
874,25,10,7200.0,None,CeOx fibers,[A],0.602
831,25,10,2300.0,g,Ca Oxide,[A],0.602
2161,25,10,32000.0,g,Th Oxide,[A],0.602
2385,25,10,2700.0,None,TiOx fibers,[A],0.602
1973,25,10,67500.0,g,Th Carbide,[A],0.602
57,26,10,49000.0,g,U Carbide,[A],0.197
184,27,10,200.0,g,U Carbide,[A],0.032
1420,20,11,680000.0,g,Si Carbide,[A],0.44789999999999996
1435,20,11,1100000.0,None,SiC sub-micron,[A],0.44789999999999996
2042,20,11,803000.0,None,Th Carbide,[A],0.44789999999999996
2333,20,11,53000.0,g,Ti Metal foil,[A],0.44789999999999996
1419,21,11,400000000.0,None,Si Carbide,[A],22.49
1426,21,11,76100000.0,g,Si Carbide,[A],22.49
1430,21,11,36000000.0,None,SiC sub-micron,[A],22.49
2040,21,11,1120000.0,None,Th Carbide,[A],22.49
2044,21,11,6140000.0,None,Th Carbide,[A],22.49
2062,21,11,3340000.0,None,Th Carbide,[A],22.49
2063,21,11,2820000.0,None,Th Carbide,[A],22.49
2347,21,11,15000000.0,g,Ti Metal foil,[A],22.49
2430,21,11,110000.0,g,Zr Metal foil,[A],22.49
647,21,11,18000.0,g,U Carbide,[A],22.49
701,21,11,31400.0,g,U Carbide,[A],22.49
